Chamber_1(kPa),chamber_2(kPa),chamber_3(kPa),chamber_4(kPa),chamber_5(kPa),chamber_6(kPa),time(s)
-79.45,-10.872,-9.68,-50.735,-1.005,-0.8825,12.705
-79.815,-11.313,-9.435,-51.59,-0.8825,-0.76,12.729
-79.695,-11.609,-9.68,-51.225,-1.005,-0.8825,12.756
-79.815,-11.313,-9.68,-50.98,-0.76,-1.005,12.783
-79.695,-14.119,-9.5575,-50.98,-0.6375,-0.76,12.809
-79.938,-11.905,-11.145,-51.102,-1.005,-0.8825,12.834
-75.05,-11.313,-10.045,-51.102,-0.8825,-1.005,12.86
-66.62,-8.3616,-7.8475,-51.102,-1.125,-1.2475,12.887
-63.075,-6.7364,-6.38,-50.735,-0.6375,-0.8825,12.914
-57.945,-5.7032,-5.6475,-51.345,-1.125,-0.8825,12.938
-55.012,-4.3741,-4.5475,-50.858,-0.8825,-0.8825,12.965
-55.868,-3.785,-4.18,-51.225,-0.8825,-1.125,12.991
-52.812,-2.8969,-3.57,-50.735,-0.6375,-0.76,13.018
-51.835,-2.0118,-2.96,-50.98,-0.76,-1.125,13.043
-51.468,-1.5677,-2.3475,-50.612,-0.6375,-1.005,13.069
-50.367,-1.8637,-1.86,-50.858,-0.76,-0.8825,13.096
-51.345,-1.4227,-1.7375,-50.858,-1.005,-1.005,13.123
-50.98,-1.2747,-1.4925,-50.98,-1.005,-1.125,13.147
-50.858,-0.83062,-1.005,-50.735,-0.6375,-0.8825,13.174
-51.345,-0.83062,-0.8825,-50.858,-0.6375,-0.76,13.2
-51.102,-1.1267,-1.2475,-51.345,-0.76,-0.76,13.227
-51.225,-1.1267,-1.37,-51.225,-1.2475,-1.37,13.252
-50.858,-0.97865,-0.8825,-50.612,-0.8825,-1.005,13.278
-50.858,-0.6826,-0.6375,-50.858,-0.76,-0.76,13.305
-51.225,-0.6826,-0.6375,-52.203,-0.6375,-0.76,13.331
-51.102,-1.2747,-0.8825,-51.345,-0.8825,-0.6375,13.358
-50.49,-0.6826,-0.515,-50.735,-1.005,-1.005,13.383
-50.98,-0.83062,-0.8825,-50.98,-0.3925,-0.76,13.409
-50.735,-0.97865,-0.8825,-50.858,-0.76,-0.76,13.436
-50.735,-0.83062,-0.76,-51.958,-0.76,-0.8825,13.462
-50.735,-0.6826,-0.6375,-50.98,-1.005,-1.005,13.487
-50.858,-0.97865,-0.6375,-51.102,-1.125,-0.8825,13.514
-50.248,-0.53458,-0.3925,-50.612,-0.6375,-0.76,13.54
-50.367,-0.53458,-0.3925,-50.612,-0.76,-0.6375,13.567
-51.225,-1.1267,-1.005,-51.835,-0.8825,-1.005,13.591
-50.858,-1.1267,-1.005,-51.345,-1.005,-0.8825,13.618
-50.858,-0.97865,-0.8825,-50.98,-0.76,-1.125,13.645
-50.735,-0.97865,-0.6375,-51.225,-1.005,-0.8825,13.671
-50.612,-0.83062,-0.515,-50.98,-0.8825,-0.76,13.7
-53.058,-2.0118,-1.4925,-53.422,-1.615,-1.615,13.723
-50.612,-0.83062,-0.515,-50.98,-0.8825,-1.125,13.749
-51.958,-1.5677,-1.2475,-52.322,-1.2475,-1.37,13.776
-50.735,-0.97865,-0.515,-50.98,-1.005,-0.76,13.8
-50.612,-0.97865,-0.515,-51.345,-0.76,-0.76,13.827
-50.49,-1.1267,-0.6375,-51.225,-1.005,-0.76,13.854
-50.49,-0.97865,-0.76,-50.735,-0.6375,-1.005,13.88
-50.49,-0.83062,-0.515,-50.735,-1.005,-0.6375,13.905
-51.468,-0.83062,-0.6375,-51.345,-1.005,-1.125,13.931
-50.612,-0.6826,-0.515,-51.225,-0.76,-1.125,13.958
-51.468,-1.1267,-1.125,-51.835,-1.125,-1.2475,13.985
-50.858,-0.97865,-0.6375,-51.102,-0.76,-1.005,14.009
-50.49,-0.6826,-0.515,-50.858,-0.8825,-1.005,14.036
-50.858,-0.83062,-0.6375,-50.858,-0.515,-0.76,14.062
-50.735,-0.83062,-0.6375,-50.735,-0.8825,-0.8825,14.089
-50.735,-0.83062,-0.76,-51.102,-1.005,-1.2475,14.114
-50.612,-0.53458,-0.3925,-50.735,-0.6375,-0.8825,14.14
-50.49,-0.6826,-0.3925,-50.858,-0.76,-0.76,14.167
-50.612,-0.6826,-0.515,-51.59,-0.76,-0.76,14.194
-50.858,-0.97865,-0.8825,-51.468,-1.2475,-1.2475,14.218
-50.735,-0.53458,-0.515,-50.735,-0.515,-1.005,14.245
-50.612,-0.53458,-0.515,-50.858,-0.3925,-0.76,14.271
-50.248,-0.53458,-0.27,-50.367,-0.515,-0.6375,14.298
-50.49,-0.6826,-0.76,-51.712,-1.005,-0.8825,14.323
-50.367,-0.53458,-0.3925,-50.98,-0.8825,-1.005,14.349
-50.367,-0.53458,-0.515,-50.735,-0.6375,-0.76,14.376
-50.735,-0.6826,-0.515,-51.102,-0.515,-0.8825,14.402
-50.735,-0.83062,-0.8825,-51.345,-0.76,-0.8825,14.427
-50.735,-0.97865,-0.6375,-50.98,-1.005,-1.005,14.454
-50.248,-0.53458,-0.515,-50.735,-0.6375,-0.76,14.48
-47.435,-0.24156,-0.3925,-50.858,-0.76,-1.005,14.507
-41.815,-0.83062,-0.8825,-44.747,-0.6375,-0.76,14.531
-36.072,-0.97865,-0.6375,-39.86,-0.76,-0.76,14.558
-34.972,-1.2747,-0.8825,-35.95,-0.76,-0.8825,14.585
-33.017,-0.6826,-0.6375,-34.85,-0.76,-1.005,14.611
-32.285,-0.83062,-0.76,-31.673,-1.125,-1.005,14.636
-31.552,-0.53458,-0.76,-30.695,-0.76,-0.8825,14.662
-30.695,-1.1267,-0.8825,-31.673,-0.8825,-0.76,14.689
-33.14,-0.83062,-0.76,-31.43,-0.8825,-1.125,14.716
-31.795,-0.6826,-0.6375,-31.063,-1.005,-0.76,14.74
-31.673,-0.97865,-1.005,-31.43,-1.125,-1.005,14.767
-31.552,-0.6826,-0.8825,-31.063,-0.76,-0.76,14.794
-31.185,-0.38656,-0.27,-30.817,-0.6375,-0.8825,14.82
-31.063,-0.6826,-0.515,-30.695,-0.6375,-0.515,14.845
-31.063,-0.6826,-0.76,-30.817,-0.8825,-0.8825,14.871
-30.94,-0.53458,-0.76,-30.695,-0.76,-0.6375,14.898
-30.575,-0.83062,-0.6375,-30.695,-0.76,-1.2475,14.925
-30.94,-0.97865,-0.515,-30.453,-0.76,-1.005,14.949
-30.817,-0.97865,-0.76,-30.817,-0.76,-0.8825,14.976
-30.817,-0.97865,-0.8825,-30.817,-1.005,-0.76,15.002
-30.817,-1.1267,-0.76,-31.063,-1.125,-1.005,15.029
-30.94,-1.1267,-0.76,-30.94,-1.005,-0.8825,15.054
-30.575,-0.83062,-0.515,-30.453,-0.8825,-1.125,15.08
-30.695,-0.97865,-0.6375,-30.575,-0.8825,-0.8825,15.107
-30.695,-0.97865,-0.76,-30.453,-0.76,-0.6375,15.133
-30.94,-1.2747,-0.76,-30.695,-0.76,-0.8825,15.158
-30.695,-0.97865,-0.6375,-30.575,-1.125,-1.2475,15.185
-30.453,-0.83062,-0.6375,-30.453,-0.76,-1.125,15.211
-30.453,-0.6826,-0.6375,-30.453,-0.76,-0.76,15.238
-30.575,-1.1267,-0.515,-30.453,-0.76,-0.76,15.263
-30.695,-1.1267,-0.76,-30.94,-1.125,-1.125,15.289
-30.453,-0.83062,-0.6375,-30.453,-1.125,-1.005,15.316
-30.453,-0.97865,-0.6375,-30.453,-0.3925,-0.8825,15.342
-30.207,-0.83062,-0.3925,-30.207,-0.6375,-0.76,15.369
-30.575,-1.1267,-0.6375,-31.185,-0.6375,-0.76,15.394
-30.94,-0.97865,-0.76,-31.063,-1.2475,-1.2475,15.42
-30.33,-0.6826,-0.6375,-30.453,-0.76,-0.8825,15.447
-30.207,-0.53458,-0.3925,-30.085,-0.515,-0.515,15.473
-30.33,-0.6826,-0.515,-30.33,-0.76,-0.6375,15.498
-30.817,-0.83062,-0.515,-30.453,-0.76,-0.8825,15.525
-30.085,-0.6826,-0.6375,-30.33,-0.8825,-0.8825,15.551
-30.453,-0.83062,-0.8825,-30.453,-0.76,-1.125,15.578
-30.207,-0.6826,-0.3925,-30.33,-0.8825,-0.76,15.602
-30.33,-0.53458,-0.3925,-30.33,-0.76,-1.005,15.629
-30.33,-0.6826,-0.6375,-30.695,-0.76,-0.8825,15.656
-30.453,-0.6826,-0.6375,-30.453,-0.6375,-1.125,15.682
-30.33,-0.83062,-0.76,-30.575,-0.76,-0.76,15.707
-30.453,-0.6826,-0.6375,-30.695,-0.8825,-0.76,15.733
-30.453,-0.6826,-0.515,-30.453,-0.76,-0.8825,15.76
-30.33,-0.83062,-0.76,-30.695,-0.6375,-1.125,15.787
-30.817,-1.1267,-0.6375,-30.695,-0.8825,-1.005,15.811
-30.453,-0.6826,-0.3925,-30.453,-1.005,-0.76,15.838
-30.33,-0.6826,-0.515,-30.453,-1.005,-0.8825,15.865
-30.453,-0.6826,-0.76,-30.695,-0.8825,-1.005,15.891
-30.33,-0.6826,-0.76,-30.453,-0.76,-0.8825,15.916
-30.33,-0.53458,-0.3925,-30.085,-0.515,-0.6375,15.942
-30.33,-0.83062,-0.6375,-30.817,-1.125,-1.005,15.969
-30.207,-0.53458,-0.6375,-30.453,-0.8825,-1.005,15.996
-30.817,-0.97865,-1.005,-30.817,-0.8825,-1.005,16.02
-30.085,-0.38656,-0.3925,-30.453,-0.76,-0.8825,16.047
-30.695,-0.83062,-0.76,-30.817,-0.76,-1.005,16.073
-30.085,-0.38656,-0.3925,-30.207,-0.6375,-0.6375,16.1
-30.33,-0.6826,-0.76,-30.817,-0.6375,-0.76,16.125
-30.695,-0.83062,-1.005,-30.817,-1.125,-1.005,16.151
-30.085,-0.53458,-0.3925,-30.33,-0.76,-0.8825,16.178
-30.695,-0.83062,-0.6375,-30.575,-0.76,-0.8825,16.205
-30.33,-0.24156,-0.6375,-30.33,-0.6375,-0.76,16.229
-30.575,-0.83062,-0.8825,-30.94,-0.8825,-0.8825,16.256
-30.207,-0.53458,-0.515,-30.453,-0.8825,-1.005,16.282
-30.207,-0.53458,-0.3925,-30.453,-0.6375,-0.76,16.309
-30.207,-0.6826,-0.6375,-30.575,-0.6375,-0.8825,16.334
-30.453,-0.83062,-0.8825,-30.575,-0.76,-1.005,16.36
-30.207,-0.6826,-0.515,-30.575,-0.6375,-0.8825,16.387
-30.207,-0.6826,-0.6375,-30.453,-1.005,-0.8825,16.413
-30.33,-0.83062,-0.76,-30.453,-0.76,-0.8825,16.438
-30.33,-0.97865,-1.005,-30.575,-0.76,-0.3925,16.465
-30.575,-1.1267,-0.76,-30.453,-0.6375,-0.8825,16.491
-30.575,-1.1267,-0.76,-30.817,-1.2475,-1.125,16.518
-30.207,-0.83062,-0.76,-30.453,-1.005,-1.005,16.542
-30.33,-0.97865,-0.76,-30.453,-1.005,-0.6375,16.569
-30.817,-1.1267,-0.8825,-30.575,-0.8825,-1.005,16.596
-30.33,-0.97865,-0.515,-30.453,-0.76,-0.76,16.622
-30.085,-0.97865,-0.76,-30.085,-0.8825,-0.8825,16.647
-30.085,-0.83062,-0.515,-30.33,-0.6375,-0.76,16.673
-30.695,-0.97865,-0.6375,-30.817,-0.8825,-0.8825,16.7
-30.207,-0.6826,-0.515,-30.33,-0.8825,-0.6375,16.727
-30.33,-0.6826,-0.515,-30.575,-0.76,-0.8825,16.751
-30.33,-0.83062,-0.76,-30.33,-0.515,-0.6375,16.778
-30.575,-0.97865,-0.8825,-30.695,-0.76,-0.76,16.805
-30.453,-1.1267,-0.8825,-30.575,-0.8825,-0.8825,16.831
-30.33,-0.97865,-0.6375,-30.817,-1.005,-1.125,16.858
-30.33,-0.83062,-0.515,-30.817,-0.76,-0.6375,16.882
-30.33,-0.83062,-0.515,-30.453,-0.6375,-0.6375,16.909
-30.207,-0.6826,-0.515,-30.453,-0.6375,-0.6375,16.936
-30.207,-0.53458,-0.8825,-30.453,-0.8825,-1.005,16.962
-30.453,-0.83062,-0.6375,-31.307,-0.8825,-1.125,16.987
-30.207,-0.6826,-0.6375,-30.695,-0.8825,-1.125,17.013
-30.085,-0.53458,-0.515,-30.207,-0.76,-0.76,17.04
-30.207,-0.53458,-0.515,-30.33,-0.515,-0.76,17.067
-30.695,-0.97865,-0.6375,-30.575,-0.8825,-0.8825,17.091
-30.94,-0.97865,-0.76,-31.063,-1.37,-1.2475,17.118
-30.207,-0.53458,-0.3925,-30.207,-0.8825,-0.76,17.144
-30.207,-0.53458,-0.3925,-30.207,-0.8825,-0.76,17.171
-30.33,-0.6826,-0.76,-30.575,-0.76,-0.8825,17.196
-30.33,-0.83062,-0.3925,-30.453,-0.76,-1.005,17.222
-30.575,-0.83062,-0.6375,-31.063,-1.2475,-1.2475,17.249
-30.33,-0.6826,-0.3925,-30.575,-1.005,-0.8825,17.276
-30.085,-0.6826,-0.6375,-30.33,-0.76,-0.76,17.3
-30.207,-0.6826,-0.515,-30.453,-0.76,-1.005,17.327
-30.207,-0.6826,-0.3925,-30.33,-0.6375,-0.76,17.353
-30.575,-0.83062,-0.515,-30.817,-1.125,-1.2475,17.38
-30.33,-0.83062,-0.76,-30.575,-1.005,-1.005,17.405
-30.817,-0.83062,-0.76,-30.453,-0.8825,-0.76,17.431
-30.33,-0.83062,-0.8825,-30.453,-0.76,-1.125,17.458
-30.085,-0.53458,-0.515,-30.33,-0.515,-0.76,17.484
-30.33,-0.6826,-0.515,-30.575,-1.005,-1.005,17.509
-30.453,-0.83062,-0.6375,-30.33,-0.8825,-0.76,17.536
-30.817,-0.97865,-0.8825,-30.453,-0.8825,-0.76,17.562
-30.207,-0.6826,-0.515,-30.453,-1.005,-1.005,17.589
-30.207,-0.6826,-0.515,-30.575,-0.76,-1.005,17.613
-30.33,-0.24156,-0.515,-30.33,-0.515,-0.76,17.64
-30.33,-0.6826,-0.76,-30.575,-0.6375,-0.6375,17.667
-30.453,-0.53458,-0.6375,-30.575,-1.005,-0.8825,17.693
-30.085,-0.53458,-0.3925,-30.817,-0.6375,-0.8825,17.718
-30.207,-0.53458,-0.6375,-30.695,-0.8825,-0.8825,17.744
-30.94,-1.1267,-1.005,-30.94,-0.8825,-1.005,17.771
-30.207,-0.6826,-0.515,-30.453,-1.005,-0.76,17.798
-30.207,-0.53458,-0.27,-30.33,-0.8825,-1.005,17.822
-30.33,-0.6826,-0.515,-30.695,-0.76,-0.6375,17.849
-30.085,-0.53458,-0.6375,-30.33,-0.515,-0.6375,17.876
-31.185,-0.6826,-0.3925,-30.453,-0.6375,-0.76,17.902
-30.695,-1.1267,-0.76,-30.695,-1.005,-1.125,17.927
-30.207,-0.97865,-0.515,-30.453,-1.005,-1.125,17.953
-30.575,-1.1267,-0.6375,-30.94,-0.76,-0.8825,17.98
-30.575,-0.97865,-0.76,-30.575,-1.005,-0.76,18.007
-30.207,-0.97865,-0.6375,-30.33,-0.515,-0.76,18.031
-30.207,-0.97865,-0.6375,-30.453,-0.515,-0.76,18.058
-30.207,-0.97865,-0.6375,-30.695,-0.76,-1.005,18.084
-30.453,-1.1267,-0.8825,-30.695,-1.005,-1.005,18.111
-30.33,-0.83062,-0.515,-30.33,-0.76,-0.76,18.136
-30.33,-0.97865,-0.6375,-30.575,-0.8825,-0.8825,18.162
-30.33,-0.6826,-0.515,-30.575,-0.76,-1.125,18.189
-30.33,-0.97865,-0.76,-30.94,-0.76,-1.005,18.215
-30.33,-1.1267,-0.6375,-30.575,-1.005,-0.8825,18.24
-35.95,-6.1473,-4.0575,-33.627,-4.7925,-1.2475,18.267
-38.76,-8.6546,-6.7475,-35.705,-6.87,-5.8925,18.293
-41.448,-11.165,-9.3125,-38.15,-9.0675,-8.58,18.32
-43.282,-13.234,-11.267,-39.738,-11.145,-10.902,18.347
-44.502,-15.448,-13.345,-40.715,-13.222,-13.345,18.371
-44.502,-17.219,-15.178,-41.327,-15.055,-15.3,18.398
-44.015,-19.433,-17.378,-41.57,-16.645,-17.01,18.424
-42.425,-20.321,-18.722,-41.083,-17.988,-18.477,18.451
-41.57,-21.65,-20.187,-40.715,-19.332,-19.942,18.476
-40.35,-22.683,-21.41,-40.105,-20.432,-21.532,18.502
-40.105,-23.716,-22.997,-40.105,-22.265,-23.242,18.529
-39.738,-24.898,-24.22,-39.983,-23.73,-24.83,18.555
-39.373,-25.783,-25.32,-39.492,-24.097,-25.443,18.58
-39.005,-26.227,-26.053,-39.373,-25.075,-26.42,18.607
-39.005,-27.26,-27.153,-39.373,-26.297,-27.763,18.633
-39.25,-28.145,-28.253,-39.615,-27.52,-28.74,18.66
-39.738,-29.474,-29.717,-39.983,-28.497,-29.963,18.684
-39.615,-29.77,-30.33,-39.615,-28.863,-30.207,18.711
-39.983,-30.063,-30.817,-39.615,-29.84,-31.307,18.738
-39.983,-30.803,-31.673,-39.983,-30.817,-32.407,18.764
-40.47,-31.099,-32.407,-40.35,-31.917,-33.75,18.791
-40.838,-32.133,-33.385,-40.96,-33.017,-34.727,18.815
-40.838,-32.722,-33.75,-41.083,-33.262,-35.218,18.842
-41.083,-32.722,-34.362,-41.205,-33.995,-35.828,18.869
-41.57,-33.755,-34.972,-41.815,-34.727,-36.44,18.895
-42.06,-34.051,-35.828,-42.305,-35.828,-37.538,18.92
-42.425,-34.936,-36.682,-43.037,-36.805,-38.515,18.947
-43.282,-35.824,-37.418,-43.525,-37.295,-39.25,18.973
-43.403,-36.265,-38.273,-43.892,-38.028,-39.738,19
-44.137,-37.005,-38.883,-44.502,-39.128,-40.593,19.024
-44.38,-37.594,-39.373,-44.747,-40.105,-41.327,19.051
-45.725,-38.923,-40.593,-46.215,-41.205,-42.425,19.078
-45.602,-38.775,-40.47,-45.48,-41.083,-42.547,19.104
-45.725,-38.923,-41.083,-45.97,-41.815,-42.915,19.131
-46.337,-39.66,-41.57,-46.703,-42.915,-44.015,19.155
-47.07,-40.401,-42.305,-47.315,-43.892,-44.87,19.182
-48.17,-41.73,-43.647,-48.292,-45.115,-45.602,19.209
-48.047,-41.434,-43.282,-48.047,-44.747,-45.847,19.235
-48.78,-42.319,-44.137,-48.903,-45.602,-46.58,19.26
-49.27,-42.615,-44.625,-49.513,-46.58,-47.07,19.286
-49.513,-43.059,-44.992,-49.758,-47.193,-47.68,19.313
-50.002,-43.796,-46.093,-50.49,-47.803,-48.535,19.34
-50.612,-44.24,-46.58,-51.102,-48.657,-49.148,19.364
-51.345,-45.125,-47.315,-51.59,-49.27,-50.002,19.391
-52.203,-46.01,-48.17,-52.568,-50.367,-50.612,19.418
-52.568,-46.454,-48.413,-52.445,-50.612,-50.858,19.444
-53.18,-47.043,-49.025,-52.812,-51.225,-51.59,19.471
-53.18,-46.895,-48.78,-53.18,-51.712,-52.08,19.495
-53.668,-47.043,-49.27,-53.545,-52.203,-52.69,19.522
-54.035,-47.635,-49.758,-54.035,-53.058,-53.422,19.549
-54.522,-48.817,-50.858,-54.89,-53.912,-54.035,19.575
-55.99,-49.998,-52.08,-56.112,-54.89,-55.255,19.6
-55.378,-49.702,-51.835,-55.622,-54.645,-55.255,19.626
-55.745,-50.146,-52.322,-56.112,-55.255,-55.745,19.653
-56.112,-50.291,-52.69,-56.845,-55.99,-56.478,19.68
-56.6,-50.883,-53.3,-57.332,-56.6,-56.845,19.704
-56.845,-51.031,-53.422,-57.455,-56.6,-56.968,19.731
-57.09,-51.472,-53.912,-57.945,-57.21,-57.7,19.758
-58.067,-52.508,-54.522,-58.8,-58.432,-58.8,19.784
-58.188,-52.801,-54.768,-59.045,-58.678,-59.288,19.811
-59.045,-53.541,-55.378,-59.655,-59.165,-59.045,19.835
-59.777,-54.278,-55.99,-60.51,-59.655,-60.023,19.862
-59.288,-53.689,-55.868,-59.9,-59.532,-59.9,19.889
-59.41,-53.982,-56.112,-60.142,-60.142,-60.51,19.915
-60.023,-54.722,-57.09,-60.877,-60.755,-61.12,19.94
-60.755,-55.311,-57.578,-61.365,-61.365,-61.61,19.966
-63.81,-58.707,-60.387,-64.175,-64.175,-64.42,19.993
-61.61,-56.199,-58.188,-62.097,-61.733,-62.097,20.02
-61.365,-56.344,-58.067,-61.977,-62.097,-62.587,20.044
-62.097,-56.937,-58.922,-63.075,-63.075,-63.197,20.071
-62.465,-57.085,-59.165,-63.197,-63.197,-63.565,20.097
-62.833,-57.526,-59.655,-63.688,-63.197,-63.565,20.124
-63.32,-58.118,-60.023,-64.055,-64.055,-64.055,20.151
-63.565,-58.707,-60.265,-64.297,-64.175,-64.42,20.175
-63.442,-58.562,-60.387,-64.175,-64.055,-64.297,20.202
-64.175,-59.151,-60.633,-64.543,-64.297,-64.665,20.229
-64.297,-59.151,-61.12,-64.42,-64.42,-64.543,20.255
-64.42,-59.299,-61.12,-64.665,-64.543,-65.032,20.28
-64.297,-59.447,-61.487,-65.275,-65.397,-65.397,20.306
-64.42,-60.036,-61.733,-65.397,-65.642,-66.01,20.333
-65.275,-60.628,-62.22,-65.765,-65.888,-66.252,20.36
-66.252,-61.957,-63.442,-67.23,-67.108,-67.475,20.386
-65.52,-61.217,-62.465,-66.13,-66.375,-66.62,20.411
-65.397,-60.924,-62.587,-66.498,-66.743,-66.743,20.437
-65.765,-61.365,-63.197,-66.865,-66.987,-67.23,20.464
-66.13,-61.957,-63.32,-67.23,-67.108,-67.72,20.491
-66.865,-62.694,-64.055,-67.843,-67.72,-68.085,20.515
-66.743,-62.694,-64.055,-67.843,-67.843,-67.965,20.542
-66.987,-62.99,-64.175,-68.085,-68.085,-68.207,20.568
-67.353,-63.431,-64.787,-68.33,-68.085,-68.453,20.595
-67.597,-63.431,-65.153,-68.575,-68.33,-68.942,20.62
-68.085,-63.727,-65.153,-68.575,-68.33,-68.82,20.646
-67.843,-63.579,-65.153,-68.453,-68.698,-68.942,20.673
-68.207,-64.171,-65.52,-68.942,-69.062,-69.43,20.699
-67.965,-64.171,-65.153,-68.82,-68.575,-68.942,20.726
-68.207,-64.319,-65.397,-69.185,-69.062,-69.43,20.751
-68.575,-64.909,-65.52,-69.185,-69.185,-69.675,20.777
-68.575,-64.761,-65.888,-69.675,-69.552,-69.552,20.804
-68.575,-64.613,-65.765,-69.43,-69.43,-69.552,20.831
-68.942,-65.205,-66.01,-69.675,-69.552,-69.675,20.855
-68.942,-65.205,-66.01,-69.797,-69.552,-69.92,20.882
-69.43,-65.794,-66.375,-70.04,-70.04,-70.407,20.908
-69.797,-66.238,-66.987,-70.407,-70.285,-70.285,20.935
-69.185,-66.09,-66.62,-70.04,-70.04,-69.797,20.962
-69.552,-66.238,-67.108,-70.162,-70.285,-70.407,20.986
-69.552,-66.09,-67.108,-70.407,-70.407,-70.775,21.013
-69.797,-66.238,-67.353,-70.775,-70.898,-71.14,21.039
-69.797,-66.83,-67.597,-70.898,-71.385,-71.385,21.066
-69.675,-66.682,-67.108,-70.53,-70.898,-70.775,21.091
-70.162,-67.123,-67.597,-71.017,-70.898,-71.263,21.117
-69.92,-66.975,-67.23,-70.653,-70.653,-71.263,21.144
-70.407,-67.567,-68.207,-71.995,-72.118,-72.485,21.17
-70.407,-67.419,-68.085,-71.508,-71.508,-71.875,21.195
-70.775,-67.863,-68.33,-71.752,-71.508,-71.508,21.222
-70.653,-67.715,-68.453,-71.63,-71.385,-71.63,21.248
-71.14,-68.452,-68.942,-72.24,-71.875,-72.485,21.275
-71.263,-68.6,-69.062,-72.485,-72.362,-72.362,21.302
-71.508,-68.6,-69.185,-72.608,-72.608,-72.73,21.326
-71.508,-68.6,-69.062,-72.24,-71.995,-72.24,21.353
-71.14,-68.156,-68.698,-71.875,-71.875,-72.362,21.379
-71.017,-68.011,-68.575,-71.752,-72.118,-72.118,21.406
-71.995,-69.192,-69.308,-72.608,-72.73,-72.972,21.431
-71.752,-69.044,-69.308,-72.608,-72.608,-72.73,21.457
-71.752,-68.896,-68.942,-72.24,-72.118,-72.118,21.484
-71.385,-68.304,-68.453,-71.752,-71.995,-72.118,21.51
-71.752,-68.452,-68.942,-72.485,-72.485,-72.608,21.537
-71.63,-68.896,-69.185,-72.73,-72.852,-73.095,21.562
-71.995,-69.337,-69.92,-73.095,-72.852,-73.218,21.588
-71.752,-69.485,-69.92,-73.218,-72.73,-72.972,21.615
-71.995,-69.337,-69.675,-72.972,-72.608,-72.972,21.641
-71.752,-69.337,-69.552,-72.972,-72.972,-72.972,21.666
-71.63,-68.896,-69.43,-72.608,-72.73,-73.095,21.693
-71.995,-69.485,-69.675,-72.852,-72.852,-73.34,21.719
-71.995,-69.044,-69.675,-72.972,-72.972,-73.462,21.746
-71.875,-69.337,-69.552,-73.095,-73.218,-73.34,21.771
-72.24,-69.633,-69.92,-73.34,-73.462,-73.462,21.797
-73.462,-70.962,-70.898,-74.317,-74.44,-74.317,21.824
-72.485,-69.633,-69.675,-73.095,-73.095,-73.585,21.85
-72.485,-69.633,-70.04,-73.462,-73.34,-73.708,21.877
-72.362,-69.485,-69.92,-73.218,-73.218,-73.34,21.902
-72.73,-69.929,-70.285,-73.708,-73.708,-73.83,21.928
-72.485,-69.633,-70.285,-73.585,-73.218,-73.585,21.955
-72.972,-70.225,-70.653,-74.073,-73.95,-73.95,21.981
-72.73,-70.225,-70.407,-73.95,-73.34,-73.708,22.006
-73.34,-70.373,-70.898,-73.708,-74.073,-73.83,22.033
-72.852,-69.929,-70.407,-73.585,-73.708,-73.708,22.059
-72.852,-70.077,-70.285,-73.462,-73.585,-73.83,22.086
-72.608,-69.781,-70.407,-73.585,-73.585,-73.83,22.112
-72.608,-69.929,-70.162,-73.708,-73.83,-74.073,22.137
-72.73,-70.077,-70.285,-73.585,-73.708,-73.83,22.164
-73.218,-70.666,-70.775,-74.195,-73.95,-74.073,22.19
-72.972,-70.077,-70.53,-74.073,-73.95,-74.317,22.217
-72.608,-70.077,-70.407,-73.95,-73.708,-74.195,22.242
-73.218,-70.518,-70.775,-74.44,-74.317,-74.685,22.268
-73.095,-70.225,-70.898,-74.073,-74.073,-74.195,22.295
-72.852,-70.373,-70.775,-74.073,-73.95,-73.95,22.321
-73.218,-70.814,-71.263,-74.927,-74.927,-75.418,22.348
-73.462,-70.962,-71.385,-74.927,-74.44,-74.927,22.373
-73.34,-70.518,-71.14,-74.317,-74.195,-74.562,22.399
-73.218,-70.373,-71.017,-74.317,-74.317,-74.44,22.426
-72.972,-70.077,-70.53,-73.83,-73.708,-74.073,22.452
-73.585,-70.814,-71.017,-74.808,-74.808,-75.172,22.477
-73.34,-70.666,-70.898,-74.44,-74.562,-74.685,22.504
-71.14,-70.518,-70.898,-74.44,-74.44,-74.685,22.53
-61.365,-71.11,-71.263,-74.562,-74.685,-74.685,22.557
-53.422,-70.814,-70.53,-73.95,-73.95,-73.95,22.581
-45.847,-71.258,-71.508,-74.685,-74.562,-74.808,22.608
-38.395,-70.666,-71.017,-74.317,-74.317,-74.562,22.635
-31.917,-70.962,-71.263,-74.562,-74.562,-74.808,22.661
-29.23,-71.258,-71.385,-74.562,-74.562,-74.808,22.688
-26.053,-71.554,-71.263,-74.44,-74.195,-74.317,22.713
-25.93,-71.699,-71.508,-74.562,-74.44,-74.562,22.739
-23.852,-71.258,-71.017,-74.073,-74.317,-74.44,22.766
-22.633,-71.554,-71.63,-74.927,-75.05,-75.295,22.792
-19.7,-71.258,-71.017,-74.195,-74.562,-74.808,22.817
-21.532,-71.258,-71.017,-74.195,-74.073,-74.317,22.844
-21.042,-71.11,-71.017,-74.317,-74.317,-74.562,22.87
-20.92,-71.699,-71.752,-74.562,-74.685,-74.927,22.897
-20.677,-71.258,-71.263,-74.317,-74.562,-74.808,22.921
-20.677,-71.554,-71.63,-74.685,-74.808,-75.05,22.948
-21.165,-71.995,-71.875,-74.808,-75.172,-75.295,22.975
-20.797,-71.699,-71.995,-75.662,-75.54,-75.905,23.001
